M,M_abs,E_Ising,E_defrag,E_total,E_bind,n_walls,var_M,Phi_max,Phi_var,sweep
0.59228515625,0.59228515625,-2792.0,1030.3430373163064,-1761.6569626836936,-1030.3430373163062,1213,0.6491982936859131,10.682110663796502,16.82281630655946,0
0.00146484375,0.00146484375,-7712.0,174438.72094202746,166726.72094202746,-174438.72094202746,128,0.9999977350234985,128.2011644149901,8724.040370752122,100
0.0,0.0,-7704.0,174435.8817087807,166731.8817087807,-174435.8817087807,128,1.0,128.062117486883,8723.968484878184,200
0.00048828125,0.00048828125,-7704.0,174435.37107860748,166731.37107860748,-174435.37107860748,128,0.9999996423721313,128.04821038341518,8723.951009136541,300
0.0009765625,0.0009765625,-7712.0,174437.07014766202,166725.07014766202,-174437.07014766202,128,0.9999990463256836,128.0659336628882,8723.962785656273,400
-0.00146484375,0.00146484375,-7700.0,174436.31209075573,166736.31209075573,-174436.31209075573,128,0.9999977350234985,128.13030836212707,8724.005502136777,500
-0.00146484375,0.00146484375,-7716.0,174439.16001943508,166723.16001943508,-174439.1600194351,128,0.9999977350234985,128.1079513779631,8724.024847940636,600
0.0009765625,0.0009765625,-7712.0,174437.45393111627,166725.45393111627,-174437.4539311162,128,0.9999990463256836,128.09014047776728,8723.949897477207,700
-0.00146484375,0.00146484375,-7716.0,174438.9772275236,166722.9772275236,-174438.9772275236,128,0.9999977350234985,128.0166991143944,8724.062447301083,800
0.0,0.0,-7700.0,174435.76556545723,166735.76556545723,-174435.76556545723,128,1.0,128.11325677948423,8723.98560517047,900
0.0009765625,0.0009765625,-7716.0,174443.21062797966,166727.21062797966,-174443.21062797966,128,0.9999990463256836,128.00936408365013,8724.260657261737,1000
-0.0009765625,0.0009765625,-7720.0,174442.15573968954,166722.15573968954,-174442.1557396895,128,0.9999990463256836,128.04796929360063,8724.048897184399,1100
-0.00146484375,0.00146484375,-7712.0,174438.4792244554,166726.4792244554,-174438.47922445537,128,0.9999977350234985,128.03012402341994,8724.05982683911,1200
-0.00048828125,0.00048828125,-7708.0,174435.22523347806,166727.22523347806,-174435.22523347806,128,0.9999996423721313,127.96439005302216,8723.936832158664,1300
0.00146484375,0.00146484375,-7708.0,174435.55696595652,166727.55696595652,-174435.55696595652,128,0.9999977350234985,128.03188011932318,8723.941362034799,1400
-0.001953125,0.001953125,-7716.0,174439.06222170108,166723.06222170108,-174439.06222170108,128,0.9999961853027344,128.17374070766132,8724.005190826523,1500
-0.00048828125,0.00048828125,-7708.0,174436.4614671596,166728.4614671596,-174436.46146715962,128,0.9999996423721313,128.13866958784527,8723.97175762452,1600
0.00146484375,0.00146484375,-7716.0,174443.52655070293,166727.52655070293,-174443.52655070295,128,0.9999977350234985,128.36296785867356,8724.17539415184,1700
0.0009765625,0.0009765625,-7720.0,174436.92142596532,166716.92142596532,-174436.9214259653,128,0.9999990463256836,128.0971807683289,8723.948424908273,1800
0.0,0.0,-7704.0,174435.49113084076,166731.49113084076,-174435.49113084076,128,1.0,128.01016026305467,8723.962723702207,1900
0.0009765625,0.0009765625,-7712.0,174437.0604931733,166725.0604931733,-174437.0604931733,128,0.9999990463256836,128.0261065597924,8723.95629674665,2000
